river_name,reach_id,node_id,lat,lon,width_m,max_width,n_chan_mod,dist_out
Killik River,81380600091,81380600090031,68.39537121906172,-154.0735988943258,147.0,147.0,1,431521.0
Killik River,81380600091,81380600090041,68.39385907008531,-154.07560100200365,171.0,171.0,1,431750.0
Killik River,81380600091,81380600090051,68.39224379277846,-154.07868823223328,174.5,174.5,1,431949.0
Killik River,81380600091,81380600090061,68.39062119654608,-154.07992525127744,123.0,123.0,1,432133.0
Killik River,81380600091,81380600090071,68.3888754890746,-154.07939037595295,143.0,143.0,1,432349.0
Killik River,81380600091,81380600090081,68.38712865852166,-154.0790293051896,107.0,107.0,1,432532.0
Killik River,81380600091,81380600090091,68.38538321645542,-154.0784528826312,108.0,108.0,1,432746.0
Killik River,81380600091,81380600090101,68.38363846679772,-154.07776883661205,226.5,226.5,1,432929.0
Killik River,81380600091,81380600090111,68.38189174266128,-154.077390625008,228.0,228.0,1,433148.0
Killik River,81380600091,81380600090121,68.38015530818446,-154.07541455881406,170.0,170.0,1,433346.0
Killik River,81380600091,81380600090131,68.37854932128819,-154.07407383633128,180.0,180.0,1,433540.0
Killik River,81380600091,81380600090141,68.37708422770267,-154.07174284441584,190.0,190.0,1,433729.0
Killik River,81380600091,81380600090151,68.37575688017225,-154.06890793705492,127.0,127.0,1,433925.0
Killik River,81380600091,81380600090161,68.37443134524895,-154.06578164192103,117.0,117.0,1,434113.0
Killik River,81380600091,81380600090171,68.37283315185378,-154.06320569747785,190.0,190.0,1,434339.0
Killik River,81380600091,81380600090181,68.37109396577974,-154.06163776070693,190.0,190.0,1,434527.0
Killik River,81380600091,81380600090191,68.36948724703302,-154.0603957752573,202.0,202.0,1,434714.0
Killik River,81380600091,81380600090201,68.36774411461298,-154.05944627154668,189.0,189.0,1,434927.0
Killik River,81380600091,81380600090211,68.36599952333408,-154.05872604806754,196.0,196.0,1,435114.0
Killik River,81380600091,81380600090221,68.3642606875502,-154.05709645607072,256.0,256.0,1,435335.0
Killik River,81380600091,81380600090231,68.36251700826278,-154.05623072531787,266.5,266.5,1,435517.0
Killik River,81380600091,81380600090241,68.3609068686754,-154.05552410321332,190.0,190.0,1,435713.0
Killik River,81380600091,81380600090251,68.35944252114466,-154.05303578035756,254.0,254.0,1,435913.0
Killik River,81380600091,81380600090261,68.35798345562979,-154.04970239426902,264.0,264.0,1,436129.0
Killik River,81380600091,81380600090271,68.35651938906696,-154.04715645393884,283.0,283.0,1,436304.0
Killik River,81380600091,81380600090281,68.3549192071222,-154.04485450862742,365.0,365.0,1,436527.0
Killik River,81380600091,81380600090291,68.3531748539071,-154.04408722413146,330.0,330.0,1,436707.0
Killik River,81380600091,81380600090301,68.35142581011938,-154.04406945139803,324.0,551.0,2,436919.0
Killik River,81380600091,81380600090311,68.34967146881264,-154.04489813644787,220.0,551.0,2,437110.0
Killik River,81380600091,81380600090321,68.34791586325615,-154.04592790025475,175.0,551.0,2,437322.0
Killik River,81380600091,81380600090331,68.34616549262608,-154.0461215761505,199.5,199.5,1,437504.0
Killik River,81380600091,81380600090341,68.3444199903244,-154.0455383353267,152.0,152.0,1,437720.0
Killik River,81380600091,81380600090351,68.34267730867587,-154.04450432857288,115.5,115.5,1,437904.0
Killik River,81380600091,81380600090361,68.341189252629,-154.04578125548196,138.0,138.0,1,438117.0
Killik River,81380600091,81380600090371,68.33968692674381,-154.04825802375302,189.5,189.5,1,438300.0
Killik River,81380600091,81380600090381,68.3379329805875,-154.05008920091882,189.0,189.0,1,438520.0
Killik River,81380600091,81380600090391,68.33630728050896,-154.05184954401975,87.0,87.0,1,438696.0
Killik River,81380600091,81380600090401,68.33481441919244,-154.05387795251778,94.0,94.0,1,438891.0
Killik River,81380600091,81380600090411,68.33320089223044,-154.05370623850231,108.0,108.0,1,439088.0
Killik River,81380600091,81380600090421,68.33145937547322,-154.0524953330714,300.0,300.0,1,439300.0
Killik River,81380600091,81380600090431,68.32970726527066,-154.05296218231027,236.0,551.0,2,439508.0
Killik River,81380600091,81380600090441,68.32820631048652,-154.05626604158064,137.5,137.5,1,439721.0
Killik River,81380600091,81380600090451,68.32684467494065,-154.05880914065725,75.0,75.0,1,439884.0
Killik River,81380600091,81380600090461,68.32522218852205,-154.06004821231596,63.0,63.0,1,440098.0
Killik River,81380600091,81380600090471,68.32346838174904,-154.06077770802648,87.0,87.0,1,440294.0
Killik River,81380600091,81380600090481,68.32184281651809,-154.0624973772129,135.5,135.5,1,440484.0
Killik River,81380600091,81380600090491,68.32008533074523,-154.0638017005806,107.0,107.0,1,440701.0
Killik River,81380600091,81380600090501,68.318330822025,-154.06463814958852,163.0,163.0,1,440886.0
Killik River,81380600091,81380600090511,68.31672225582979,-154.06368984756057,173.0,173.0,1,441081.0
Killik River,81380600091,81380600090521,68.3149835665486,-154.06204609470288,246.0,246.0,1,441308.0
Killik River,81380600091,81380600090531,68.31349552573288,-154.0632967932489,219.0,219.0,1,441485.0
Killik River,81380600091,81380600090541,68.31200345794235,-154.06622822596267,286.5,286.5,1,441704.0
Killik River,81380600091,81380600090551,68.31023594007696,-154.06804307199067,381.5,381.5,1,441888.0
Killik River,81380600091,81380600090561,68.30862288973607,-154.06779782267088,362.5,362.5,1,442077.0
Killik River,81380600091,81380600090571,68.30702054287646,-154.0658801782544,384.0,384.0,1,442287.0
Killik River,81380600091,81380600090581,68.30555942878176,-154.06291235803084,445.0,445.0,1,442492.0
Killik River,81380600091,81380600090591,68.3042367191422,-154.05933074759983,487.0,551.0,2,442696.0
Killik River,81380600091,81380600090601,68.30277558209973,-154.05634916513034,381.5,551.0,2,442898.0
Killik River,81380600091,81380600090611,68.30117187641214,-154.05462665966158,447.0,551.0,2,443083.0
Killik River,81380600091,81380600090621,68.2995627897731,-154.05375246071614,416.0,551.0,2,443266.0
Killik River,81380600091,81380600090631,68.29781522525127,-154.05349865155748,336.0,551.0,2,443478.0
Killik River,81380600091,81380600090641,68.29592942644096,-154.0538270357756,351.0,551.0,2,443691.0
Killik River,81380600091,81380600090651,68.29404020899587,-154.05469522276675,371.0,371.0,1,443878.0
Killik River,81380600101,81380600100011,68.2921520398522,-154.05539718642527,298.0,298.0,1,444090.0
Killik River,81380600101,81380600100021,68.29040690887065,-154.05475927935277,322.0,322.0,1,444276.0
Killik River,81380600101,81380600100031,68.28866615358415,-154.05342950542303,270.0,270.0,1,444496.0
Killik River,81380600101,81380600100041,68.28691342063571,-154.05399230157855,223.5,223.5,1,444678.0
Killik River,81380600101,81380600100051,68.28516370800362,-154.05407764141248,255.0,255.0,1,444889.0
Killik River,81380600101,81380600100061,68.28341011714356,-154.05477520464487,249.0,249.0,1,445082.0
Killik River,81380600101,81380600100071,68.28178414731546,-154.05656493697384,266.0,266.0,1,445277.0
Killik River,81380600101,81380600100081,68.28015615605881,-154.05866913467995,250.5,250.5,1,445489.0
Killik River,81380600101,81380600100091,68.2783953914277,-154.06049014315278,151.0,151.0,1,445704.0
Killik River,81380600101,81380600100101,68.27664836143111,-154.06015309529198,206.5,206.5,1,445890.0
Killik River,81380600101,81380600100111,68.27490256338297,-154.05962245173166,175.0,175.0,1,446104.0
Killik River,81380600101,81380600100121,68.27329688636982,-154.05821578490756,121.0,121.0,1,446284.0
Killik River,81380600101,81380600100131,68.2716918054068,-154.05671387595385,232.0,480.0,2,446498.0
Killik River,81380600101,81380600100141,68.26993505879439,-154.05790517755534,229.0,480.0,2,446699.0
Killik River,81380600101,81380600100151,68.26817509277065,-154.05960098975737,203.0,203.0,1,446918.0
Killik River,81380600101,81380600100161,68.26641971485476,-154.060574149106,201.0,480.0,2,447103.0
Killik River,81380600101,81380600100171,68.26466322771824,-154.0617199571632,228.0,228.0,1,447322.0
Killik River,81380600101,81380600100181,68.26290525333606,-154.0630971406881,204.0,480.0,2,447514.0
Killik River,81380600101,81380600100191,68.26128228885437,-154.06440090070555,210.0,480.0,2,447698.0
Killik River,81380600101,81380600100201,68.25953320766655,-154.06438515909446,210.0,480.0,2,447911.0
Killik River,81380600101,81380600100211,68.25764565500758,-154.06498161102405,209.0,480.0,2,448125.0
Killik River,81380600101,81380600100221,68.25589188225902,-154.0656982554881,153.5,153.5,1,448307.0
Killik River,81380600101,81380600100231,68.25414235733379,-154.06575151217413,199.0,199.0,1,448520.0
Killik River,81380600101,81380600100241,68.25240075169422,-154.06456812025567,196.0,196.0,1,448712.0
Killik River,81380600101,81380600100251,68.25065975649531,-154.0632881879864,219.0,480.0,2,448929.0
Killik River,81380600101,81380600100261,68.24892088851749,-154.06167344013147,190.5,480.0,2,449139.0
Killik River,81380600101,81380600100271,68.24731953560597,-154.05959201656597,185.0,185.0,1,449325.0
Killik River,81380600101,81380600100281,68.24556732503123,-154.06006701480652,94.0,94.0,1,449538.0
Killik River,81380600101,81380600100291,68.24381387844309,-154.0607353107637,115.5,115.5,1,449744.0
Killik River,81380600101,81380600100301,68.2422014491003,-154.06319912131838,182.0,182.0,1,449922.0
Killik River,81380600101,81380600100311,68.24140472103768,-154.06654672819406,181.0,181.0,1,450134.0
Killik River,81380600101,81380600100321,68.24144126025655,-154.0716253609773,120.0,120.0,1,450346.0
Killik River,81380600101,81380600100331,68.24115716438412,-154.07632629119806,93.5,93.5,1,450530.0
Killik River,81380600101,81380600100341,68.24078078325016,-154.08041837107942,156.0,156.0,1,450724.0
Killik River,81380600101,81380600100351,68.23943691633046,-154.08429525801404,150.0,150.0,1,450939.0
Killik River,81380600101,81380600100361,68.23840417309842,-154.0874951593145,129.0,129.0,1,451123.0
Killik River,81380600101,81380600100371,68.236857861302,-154.09067858562884,138.0,138.0,1,451353.0
Killik River,81380600101,81380600100381,68.23594070694939,-154.09490956663646,67.0,67.0,1,451547.0
Killik River,81380600101,81380600100391,68.23469193097534,-154.09791929537155,115.5,115.5,1,451739.0
Killik River,81380600101,81380600100401,68.23293513972669,-154.0990675734644,108.0,108.0,1,451960.0
Killik River,81380600101,81380600100411,68.23117946028918,-154.10004658318408,63.0,63.0,1,452141.0
Killik River,81380600101,81380600100421,68.22955988530464,-154.10079033650604,71.5,71.5,1,452339.0
Killik River,81380600101,81380600100431,68.22851836064736,-154.10421967357368,101.0,101.0,1,452564.0
Killik River,81380600101,81380600100441,68.22978766638197,-154.1070113902924,130.0,130.0,1,452771.0
Killik River,81380600101,81380600100451,68.23070586888427,-154.11055965021953,94.0,94.0,1,452966.0
Killik River,81380600101,81380600100461,68.22947636318314,-154.11332714453027,101.0,101.0,1,453165.0
Killik River,81380600101,81380600100471,68.22784749327708,-154.11544668133658,63.0,63.0,1,453365.0
Killik River,81380600101,81380600100481,68.22622866228657,-154.11606850839695,78.5,78.5,1,453575.0
Killik River,81380600101,81380600100491,68.22490202513873,-154.11324978376834,73.5,73.5,1,453744.0
Killik River,81380600101,81380600100501,68.22357792314641,-154.11004499878035,65.0,65.0,1,453953.0
Killik River,81380600101,81380600100511,68.22183313013896,-154.1093841577393,67.0,67.0,1,454174.0
Killik River,81380600101,81380600100521,68.22007337538294,-154.11096209394896,57.5,57.5,1,454364.0
Killik River,81380600101,81380600100531,68.21859949935082,-154.11003084002516,57.0,57.0,1,454553.0
Killik River,81380600101,81380600100541,68.21700839582164,-154.1065009734587,75.0,75.0,1,454770.0
Killik River,81380600111,81380600110011,68.2151343331799,-154.10504436706634,54.0,54.0,1,454984.0
Killik River,81380600111,81380600110021,68.2133948106756,-154.1035876055071,54.0,54.0,1,455181.0
Killik River,81380600111,81380600110031,68.21179045162437,-154.10203752388506,67.0,67.0,1,455364.0
Killik River,81380600111,81380600110041,68.21017455037222,-154.10222539611235,67.0,67.0,1,455566.0
Killik River,81380600111,81380600110051,68.20854453518649,-154.10453701756492,67.0,67.0,1,455770.0
Killik River,81380600111,81380600110061,68.20691979637046,-154.10605197318097,61.5,61.5,1,455954.0
Killik River,81380600111,81380600110071,68.20516960877168,-154.10619857484554,90.0,90.0,1,456170.0
Killik River,81380600111,81380600110081,68.20341703175784,-154.10670364629286,107.0,107.0,1,456351.0
Killik River,81380600111,81380600110091,68.20167107034744,-154.10621599972302,77.0,77.0,1,456573.0
Killik River,81380600111,81380600110101,68.20004294442573,-154.1082349119281,127.0,127.0,1,456769.0
Killik River,81380600111,81380600110111,68.19872044082241,-154.1114962739807,162.0,162.0,1,456957.0
Killik River,81380600111,81380600110121,68.19791762315567,-154.11483561280943,196.0,577.0,2,457144.0
Killik River,81380600111,81380600110131,68.19732345605973,-154.11915005594514,137.0,137.0,1,457343.0
Killik River,81380600111,81380600110141,68.19687789013605,-154.12383351305522,42.0,42.0,1,457564.0
Killik River,81380600111,81380600110151,68.19574514115732,-154.1270353029271,85.0,85.0,1,457750.0
Killik River,81380600111,81380600110161,68.19399193883292,-154.12762126235071,136.0,136.0,1,457966.0
Killik River,81380600111,81380600110171,68.19224917329463,-154.12667059222937,101.0,101.0,1,458156.0
Killik River,81380600111,81380600110181,68.19063488108026,-154.12661543853037,72.0,72.0,1,458340.0
Killik River,81380600111,81380600110191,68.18888726981007,-154.12637803806658,67.0,67.0,1,458557.0
Killik River,81380600111,81380600110201,68.1871446367664,-154.12540699143628,71.5,71.5,1,458741.0
Killik River,81380600111,81380600110211,68.18553916773268,-154.12405006269793,80.0,80.0,1,458937.0
Killik River,81380600111,81380600110221,68.18393727657528,-154.12216294775092,67.0,67.0,1,459137.0
Killik River,81380600111,81380600110231,68.1823391061231,-154.11972166328044,67.0,67.0,1,459339.0
Killik River,81380600111,81380600110241,68.18073342854181,-154.1183895063758,67.0,67.0,1,459529.0
Killik River,81380600111,81380600110251,68.1791319573069,-154.1164308802254,57.0,57.0,1,459726.0
Killik River,81380600111,81380600110261,68.17767111580866,-154.11756527322382,98.5,98.5,1,459926.0
Killik River,81380600111,81380600110271,68.17745940192204,-154.12215976148704,94.0,94.0,1,460142.0
Killik River,81380600111,81380600110281,68.17732782907773,-154.12682350751373,281.0,281.0,1,460351.0
Killik River,81380600111,81380600110291,68.17582984413976,-154.12719082566778,190.5,190.5,1,460536.0
Killik River,81380600111,81380600110301,68.17429653495545,-154.1284172470379,127.5,127.5,1,460735.0
Killik River,81380600111,81380600110311,68.17284057256377,-154.13145512444598,71.0,71.0,1,460935.0
Killik River,81380600111,81380600110321,68.17155024939329,-154.1338741331239,94.5,577.0,2,461119.0
Killik River,81380600111,81380600110331,68.17162863920369,-154.13814421542898,99.0,99.0,1,461333.0
Killik River,81380600111,81380600110341,68.17266592903238,-154.14253431143928,54.0,54.0,1,461539.0
Killik River,81380600111,81380600110351,68.17323680052382,-154.14690150742032,69.0,69.0,1,461726.0
Killik River,81380600111,81380600110361,68.1726243723066,-154.15113728741966,69.0,69.0,1,461947.0
Killik River,81380600111,81380600110371,68.1710730462614,-154.15363849072043,63.0,63.0,1,462133.0
Killik River,81380600111,81380600110381,68.16945524028215,-154.15408745931882,92.0,92.0,1,462315.0
Killik River,81380600111,81380600110391,68.16771056385342,-154.15343177323214,108.0,108.0,1,462528.0
Killik River,81380600111,81380600110401,68.16596803747917,-154.15246647592676,95.0,95.0,1,462716.0
Killik River,81380600111,81380600110411,68.16421904910665,-154.15243036158276,137.0,137.0,1,462939.0
Killik River,81380600111,81380600110421,68.16267023887939,-154.1545658394352,90.0,90.0,1,463127.0
Killik River,81380600111,81380600110431,68.16177240554802,-154.15789368522798,73.5,73.5,1,463307.0
Killik River,81380600111,81380600110441,68.16058196915098,-154.16127186803865,67.0,67.0,1,463514.0
Killik River,81380600111,81380600110451,68.15889073419798,-154.16396359783684,42.0,42.0,1,463713.0
Killik River,81380600111,81380600110461,68.15726816116889,-154.16508583352902,58.5,58.5,1,463902.0
Killik River,81380600111,81380600110471,68.15580279352422,-154.1629835064952,42.0,42.0,1,464110.0
Killik River,81380600111,81380600110481,68.15434306939456,-154.16007246008766,39.0,39.0,1,464309.0
Killik River,81380600111,81380600110491,68.15298621736153,-154.16222996471706,90.0,90.0,1,464523.0
Killik River,81380600111,81380600110501,68.15260937472841,-154.1668004431751,61.5,61.5,1,464718.0
Killik River,81380600111,81380600110511,68.15132160117669,-154.16878204143737,39.0,39.0,1,464902.0
Killik River,81380600111,81380600110521,68.14957654358277,-154.168187662216,63.0,63.0,1,465120.0
Killik River,81380600111,81380600110531,68.14783640131127,-154.16689535967998,137.5,137.5,1,465303.0
Killik River,81380600111,81380600110541,68.1462310943448,-154.16556195191438,91.5,91.5,1,465521.0
Killik River,81380600111,81380600110551,68.14449581222286,-154.1635755469536,63.0,63.0,1,465709.0
Sagavanirktok River,81390500011,81390500010021,70.21148024809338,-147.97981108820534,203.0,2064.0,2,78424.0
Sagavanirktok River,81390500011,81390500010031,70.20972632999509,-147.98075620681666,189.0,2064.0,2,78647.0
Sagavanirktok River,81390500011,81390500010041,70.20796571162371,-147.9829257833999,269.5,2064.0,2,78847.0
Sagavanirktok River,81390500011,81390500010051,70.2064760603484,-147.98473897013025,319.0,2064.0,3,79013.0
Sagavanirktok River,81390500011,81390500010061,70.20498295939932,-147.98717619012965,307.0,2064.0,3,79227.0
Sagavanirktok River,81390500011,81390500010071,70.20322243225192,-147.98931450942746,285.0,2064.0,2,79440.0
Sagavanirktok River,81390500011,81390500010081,70.20147121254844,-147.98975969187373,271.5,2064.0,3,79633.0
Sagavanirktok River,81390500011,81390500010091,70.20013761209165,-147.99253166916614,275.0,2064.0,3,79824.0
Sagavanirktok River,81390500011,81390500010101,70.19887856239829,-147.99640733343853,190.0,2064.0,3,80037.0
Sagavanirktok River,81390500011,81390500010111,70.19757621764526,-148.00031218072496,148.0,2064.0,3,80233.0
Sagavanirktok River,81390500011,81390500010121,70.19640466864821,-148.00390550128805,169.0,2064.0,3,80420.0
Sagavanirktok River,81390500011,81390500010131,70.19505103662884,-148.00733083712922,212.0,2064.0,3,80628.0
Sagavanirktok River,81390500011,81390500010141,70.19368658313398,-148.01075520655388,212.0,2064.0,3,80824.0
Sagavanirktok River,81390500011,81390500010151,70.19236420090161,-148.0143398560795,278.0,2064.0,3,81015.0
Sagavanirktok River,81390500011,81390500010161,70.19160258495904,-148.01906233822064,354.0,2064.0,3,81236.0
Sagavanirktok River,81390500011,81390500010171,70.19092004768888,-148.02418503806786,311.0,2064.0,4,81430.0
Sagavanirktok River,81390500011,81390500010181,70.19024732016898,-148.0289112618752,314.5,2064.0,4,81622.0
Sagavanirktok River,81390500011,81390500010191,70.18965515845586,-148.03364121697487,287.5,2064.0,3,81812.0
Sagavanirktok River,81390500011,81390500010201,70.18910668527029,-148.0387697109667,442.0,2064.0,3,82032.0
Sagavanirktok River,81390500011,81390500010211,70.1884927492574,-148.04389463242657,328.0,2064.0,4,82226.0
Sagavanirktok River,81390500011,81390500010221,70.18785560916865,-148.04901807755135,357.0,2064.0,5,82425.0
Sagavanirktok River,81390500021,81390500020011,70.18685089653682,-148.05322356175495,362.5,2064.0,4,82638.0
Sagavanirktok River,81390500021,81390500020021,70.1853541024166,-148.05612394458885,339.0,2064.0,4,82842.0
Sagavanirktok River,81390500021,81390500020031,70.18405102407942,-148.05992732921845,346.0,2064.0,4,83034.0
Sagavanirktok River,81390500021,81390500020041,70.1831358456065,-148.06424187276892,326.5,2064.0,3,83229.0
Sagavanirktok River,81390500021,81390500020051,70.18255172031861,-148.06896964706758,283.5,2064.0,3,83418.0
Sagavanirktok River,81390500021,81390500020061,70.18204815977039,-148.07370134248393,192.0,2064.0,3,83611.0
Sagavanirktok River,81390500021,81390500020071,70.181025433026,-148.07824711936277,160.0,2064.0,3,83842.0
Sagavanirktok River,81390500021,81390500020081,70.17958269678353,-148.0819300263545,169.0,2064.0,2,84034.0
